City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
316,jackson,42.4165,-122.8345,37.4,81,75,1.36,US,1612674930
317,abha,18.2164,42.5053,53.6,81,0,3.44,SA,1612675139
318,mglin,53.0591,32.8475,-8.28,91,48,6.98,RU,1612675139
319,punta alta,-38.8759,-62.0736,65.05,71,28,16.08,AR,1612675139
320,slavonski brod,45.1603,18.0156,42.01,89,55,3.33,HR,1612675140
321,hibbing,47.4272,-92.9377,-18.4,63,1,10.36,US,1612675038
322,muravlenko,63.7898,74.523,7.11,95,100,19.37,RU,1612675141
323,faya,18.3851,42.4509,53.6,81,0,3.44,SA,1612675142
324,sehithwa,-20.4667,22.7167,69.82,92,100,5.61,BW,1612675143
325,leningradskiy,69.3833,178.4167,-11.27,72,33,4.97,RU,1612674965
326,ambilobe,-13.2,49.05,79.83,81,59,2.75,MG,1612674748
327,teocuitatlan de corona,20.1167,-103.4,62.01,26,1,2.53,MX,1612675144
328,tarko-sale,64.9225,77.785,-2.83,92,100,18.88,RU,1612675145
329,luanda,-8.8368,13.2343,77.0,88,75,4.61,AO,1612675145
330,san cristobal,7.7669,-72.225,65.91,86,100,1.92,VE,1612674932
331,shimoda,34.6667,138.95,59.0,51,20,12.66,JP,1612674805
332,lazaro cardenas,17.9583,-102.2,71.65,82,0,3.74,MX,1612675072
333,prince rupert,54.3161,-130.3201,37.4,80,90,4.61,CA,1612675147
334,along,28.1667,94.7667,73.18,26,58,0.96,IN,1612675147
335,japura,-0.3167,102.35,89.44,52,82,4.68,ID,1612675147
336,takahata,38.0025,140.1911,46.99,93,75,10.36,JP,1612675148
337,yongan,39.6957,113.6871,29.37,71,0,8.99,CN,1612675148
338,katesh,-4.5167,35.3833,62.02,95,100,2.66,TZ,1612675148
339,varkaus,62.3153,27.873,15.8,86,90,12.66,FI,1612675152
340,ribeira grande,38.5167,-28.7,61.18,88,96,21.14,PT,1612674966
341,atar,20.5169,-13.0499,53.94,50,20,11.88,MR,1612675040
342,zhaotong,27.3167,103.7167,46.17,65,93,5.59,CN,1612675153
343,sawakin,19.1059,37.3321,70.16,64,11,13.11,SD,1612675153
344,riorges,46.0418,4.0497,44.6,93,90,5.75,FR,1612675153
345,salinas,36.6777,-121.6555,51.8,87,1,4.61,US,1612674891
346,rio gallegos,-51.6226,-69.2181,50.92,61,17,4.43,AR,1612674945
347,menongue,-14.6585,17.691,64.06,94,100,5.01,AO,1612674988
348,mbini,1.574,9.6134,79.45,84,99,4.52,GQ,1612675154
349,mariinskiy posad,56.115,47.718,-5.8,77,40,13.42,RU,1612675154
350,anchorage,61.2181,-149.9003,14.0,85,90,4.61,US,1612674795
351,maumere,-8.6199,122.2111,83.84,70,42,4.81,ID,1612675156
352,mmathubudukwane,-24.6,26.4333,66.2,100,75,2.3,BW,1612675156
353,xining,36.6167,101.7667,33.71,55,62,2.53,CN,1612675157
354,hovd,48.0056,91.6419,16.97,83,0,3.56,MN,1612675008
355,mutare,-18.9707,32.6709,68.2,92,77,0.92,ZW,1612675157
356,tanabi,-20.6264,-49.6492,73.4,49,0,4.61,BR,1612675157
357,nabire,-3.3667,135.4833,85.24,61,100,4.45,ID,1612675158
358,kollo,13.3043,2.339,71.6,21,24,3.44,NE,1612675158
359,paamiut,61.994,-49.6678,25.83,80,80,4.43,GL,1612675042
360,greaca,44.1094,26.3394,37.0,93,96,11.97,RO,1612675158
361,tazovskiy,67.4667,78.7,-22.11,85,86,12.55,RU,1612675159
362,sorland,67.667,12.6934,35.4,80,100,18.52,NO,1612674982
363,vilyuysk,63.7553,121.6247,-22.31,86,74,7.9,RU,1612674986
364,constitucion,-35.3333,-72.4167,56.52,88,23,2.98,CL,1612674969
365,sikonge,-5.6333,32.7667,68.0,100,40,1.39,TZ,1612674982
